Namespace(batch_size=1024, comment='using exact hyperparam as original one', dataset='movie', dim=16, item_update_mode='plus_transform', kge_weight=0.01, l2_weight=1e-07, lr=0.02, n_epoch=10, n_hop=2, n_memory=32, using_all_hops=True)
epoch 0    train auc: 0.9744  acc: 0.9242    eval auc: 0.9713  acc: 0.9196    test auc: 0.9713  acc: 0.9197
epoch 1    train auc: 0.9757  acc: 0.9263    eval auc: 0.9723  acc: 0.9207    test auc: 0.9723  acc: 0.9210
epoch 2    train auc: 0.9764  acc: 0.9274    eval auc: 0.9729  acc: 0.9217    test auc: 0.9729  acc: 0.9219
epoch 3    train auc: 0.9765  acc: 0.9281    eval auc: 0.9728  acc: 0.9220    test auc: 0.9728  acc: 0.9223
epoch 4    train auc: 0.9766  acc: 0.9283    eval auc: 0.9728  acc: 0.9222    test auc: 0.9727  acc: 0.9223
epoch 5    train auc: 0.9768  acc: 0.9284    eval auc: 0.9730  acc: 0.9222    test auc: 0.9730  acc: 0.9223
epoch 6    train auc: 0.9765  acc: 0.9282    eval auc: 0.9726  acc: 0.9221    test auc: 0.9726  acc: 0.9221
epoch 7    train auc: 0.9765  acc: 0.9281    eval auc: 0.9726  acc: 0.9220    test auc: 0.9726  acc: 0.9223
epoch 8    train auc: 0.9764  acc: 0.9277    eval auc: 0.9729  acc: 0.9217    test auc: 0.9728  acc: 0.9219
